sector,fiscal_year,ammunition_rounds,apprehensions,cocaine_pounds,cocaine_seizures,conveyances,currency_in_dollars,ecstasy_pounds,ecstasy_seizures,firearms,heroin_ounces,heroin_seizures,marijuana_pounds,marijuana_seizures,methamphetamine_pounds,methamphetamine_seizures,other_drugs_pounds,other_drugs_seizures,other_than_mexican_apprehensions,aliens_special_interest_county
coastal border,2019,431,3585,6843,72,86,570145,0,3,14,292,7,859,107,898,6,1,31,2608,NA
northern border,2019,408,4408,13,34,112,373152,0,2,25,299,23,3120,427,40,400,158,86,2307,NA
southwest border,2019,8882,851508,4826,374,9017,5862399,3,46,299,12336,216,262903,5176,6,898,1345,603,685050,NA
nationwide total,2019,9721,859501,11682,480,9215,6805696,3,51,338,12927,246,266882,5710,944,1304,1504,720,689965,NA
coastal border,2018,274,3247,1701,58,79,131976,0,1,17,4,3,731,99,3,8,26,22,2297,NA
northern border,2018,344,4316,10,48,119,378302,0,8,73,54,31,1465,437,9,42,33,82,2071,NA
southwest border,2018,18302,396579,4838,453,8391,6665864,1,55,314,11302,204,458834,7505,10273,897,891,769,244322,NA
nationwide total,2018,18920,404142,6550,559,8589,7176142,2,64,404,11314,238,461030,8041,10328,947,951,873,248690,NA
coastal border,2017,217,3588,3169,33,86,325129,0,1,9,0,0,2277,113,23,2,0,6,2561,NA
northern border,2017,384,3027,3,46,79,374282,0,2,45,62,29,1066,255,32,68,14,99,1538,NA
southwest border,2017,13938,303916,6174,463,7388,5169593,1,48,369,15182,219,857888,9371,10273,809,554,735,175978,NA
nationwide total,2017,14539,310531,9346,542,7553,5869004,1,51,423,15244,248,861231,9739,10328,879,568,840,180077,NA
coastal border,2016,127,4663,1288,31,84,72351,0,1,10,87,1,1232,90,0,4,0,1,3623,NA
northern border,2016,669,2283,2,18,102,199797,7,1,50,14,22,714,214,8,38,190,46,1114,NA
southwest border,2016,15323,408870,4183,431,8256,7652390,8,51,346,8961,165,1292105,11526,8215,811,843,876,218110,NA
nationwide total,2016,16119,415816,5473,480,8442,7924537,15,53,406,9062,188,1294052,11830,8224,853,1034,923,222847,NA
coastal border,2015,25,668,6884,18,115,2626,3,5,8,0,0,1154,39,3,1,10,4,2490,NA
northern border,2015,1388,1437,42,33,80,337507,147,12,51,46,37,654,158,11,39,5,48,1189,NA
southwest border,2015,12819,186017,4294,421,7832,4401155,7,50,316,8237,142,1536499,12338,6429,704,86,730,145316,NA
nationwide total,2015,14232,188122,11220,472,8027,4741288,158,67,375,8282,179,1538307,12535,6443,744,101,782,148995,NA
coastal border,2014,19,3942,20,8,95,33045,19,12,9,0,0,1232,24,0,3,76,19,3200,NA
northern border,2014,189,3338,92,35,73,606700,0,1,33,486,37,902,181,159,27,6,65,1673,NA
southwest border,2014,63493,479371,4443,360,8687,7351640,1,62,475,9205,145,1920411,13406,3771,724,227,843,252600,NA
nationwide total,2014,63701,486651,4554,403,8855,7991385,20,75,517,9691,182,1922545,13611,3930,754,310,927,257473,NA
coastal border,2013,290,3162,709,29,68,308361,0,3,19,259,1,1262,63,2,11,8,9,2509,NA
northern border,2013,280,3230,78,34,78,944377,159,7,39,16,20,442,205,132,15,28,65,1558,NA
southwest border,2013,29796,414397,3910,351,9074,4750598,4,46,524,8937,171,2428419,15088,3446,637,484,876,148988,NA
nationwide total,2013,30366,420789,4696,414,9220,6003336,163,56,582,9212,192,2430123,15356,3580,663,520,950,153055,NA
coastal border,2012,665,3685,5962,24,83,280002,0,2,28,441,6,661,40,10,1,157,18,2577,NA
northern border,2012,2210,4210,206,43,137,1759626,199,10,66,49,23,1542,331,274,19,38,96,1904,NA
southwest border,2012,124837,356873,5992,457,9452,5535732,101,67,577,6383,124,2297662,14025,3430,562,415,842,94532,NA
nationwide total,2012,127712,364768,12161,524,9672,7575360,300,79,671,6873,153,2299864,14396,3715,582,610,956,99013,NA
coastal border,2011,122,6552,989,19,71,41742,0,0,3,158,2,2001,133,5,5,9,21,4123,60
northern border,2011,4182,6123,212,50,158,4900525,779,16,93,45,21,9472,504,2,21,32,125,2978,164
southwest border,2011,41156,327577,8763,500,10297,9849274,2,81,523,6191,85,2518211,15252,1838,437,255,801,46997,255
nationwide total,2011,45460,340252,9963,569,10526,14791541,781,97,619,6394,108,2529685,15889,1846,463,295,947,54098,479
