fiscal_year,total_apprehensions
2019,859501
2018,404142
2017,310531
2016,415816
2015,337117
2014,486651
2013,420789
2012,364768
2011,340252
2010,463382
2009,556041
2008,723825
2007,876704
2006,1089092
2005,1189075
2004,1160395
2003,931557
2002,955310
2001,1266214
2000,1676438
1999,1579010
1998,1555776
1997,1412953
1996,1549876
1995,1324202
1994,1031668
1993,1263490
1992,1199560
1991,1132033
1990,1103353
1989,891147
1988,969214
1987,1158030
1986,1692544
1985,1262435
1984,1138566
1983,1105670
1982,819919
1981,825290
1980,759420
1979,888729
1978,862837
1977,812541
1976,696039
1975,596796
1974,634777
1973,498123
1972,396495
1971,302517
1970,231116
1969,172391
1968,123519
1967,94778
1966,79610
1965,52422
1964,42879
1963,38861
1962,29897
1961,29384
1960,28966
1959,32996
1958,40504
1957,46225
1956,68420
1955,225186
1954,1028246
1953,835311
1952,528815
1951,509040
1950,468339
1949,288253
1948,192779
1947,193657
1946,99591
1945,69164
1944,31175
1943,11175
1942,11784
1941,11294
1940,10492
1939,12037
1938,12851
1937,13054
1936,11728
1935,11016
1934,10319
1933,20949
1932,22735
1931,22276
1930,20880
1929,32711
1928,23566
1927,16393
1926,12735
1925,22199
